,dif_new_players,dif_mean_matches,dif_mean_matches_on_map,dif_mean_winrate_on_map,dif_mean_kd_on_map,dif_mean_matches_preference,dif_mean_winrate_preference,dif_mean_kd_preference,dif_mean_elo,dif_stddev_elo,dif_paid_memberships,dif_solo_players,dif_num_parties,dif_mean_matches_on_map_prev,dif_mean_winrate_prev,dif_multikills_prev,dif_mean_assists_prev,dif_mean_kd_prev,dif_mean_time_prev,dif_delta_mean_elo_prev,dif_smurf_or_cheater,dif_max_time_prev,dif_elo_prob,dif_first_match,dif_mean_time_created_at,dif_stddev_time_created_at,dif_min_time_created_at,dif_mean_matches_today,dif_played_map_today,dif_have_played_together_prev,winner
8710,0,1679.7999999999997,177.39999999999998,-4.599999999999994,-0.12200000000000011,0.01652460599301664,-3.0,-0.026000000000000023,-327.0,-140.82090481856102,0,0,0,0.014444444444444454,-0.14888888888888885,-3.5633333333333326,0.3177777777777777,-0.1503020123543104,6.000000000000002,-38.17222222222226,-20.555253091856002,-4787213,0.015320671843094713,2,-15655906.25,22253827.069044948,-54104851,0.8000000000000003,1,0,1
10720,0,-28.200000000000045,-25.799999999999983,1.0,-0.06800000000000006,-0.013743009251049931,1.0000000000000002,0.007999999999999962,-1.6000000000001364,-23.585759833242264,-1,-2,-1,-0.07,-0.10000000000000003,-1.200000000000001,-0.1599999999999997,-0.07122286905861275,-1.5999999999999996,-73.09473684210525,-0.09630013900504117,-157134619,0.0,0,4077242.0,-18938041.22340636,32057599,0.19999999999999996,1,18,0
10662,0,-85.19999999999982,13.599999999999994,3.8000000000000043,0.02400000000000002,0.012192363639703857,2.8,-0.06000000000000005,1.2000000000000455,-182.88365093506098,0,2,1,0.004705882352941171,-0.05411764705882355,-4.171176470588234,0.571764705882353,-0.10124704309386434,2.0,-19.096006191950437,0.4545290967069472,43250345,0.0,2,7983530.0,2151348.7456563637,-2593104,0.19999999999999996,0,-2,0
4721,0,-303.8,-90.19999999999999,1.4000000000000057,0.03399999999999981,0.00015848909127647026,0.20000000000000007,-0.018000000000000016,-1.2000000000000455,17.97119324711636,0,0,0,-0.009999999999999953,-0.08000000000000002,0.7100000000000009,0.5700000000000003,-0.05755198449459753,-4.0,-30.34999999999998,-0.3291139250558575,1307627,0.0,1,4079551.799999997,23622021.063697305,-28352250,-0.3999999999999999,-1,-6,0
12053,0,258.79999999999995,101.6,-1.2000000000000028,0.09799999999999986,-0.0261773105806673,1.6,-0.007999999999999959,4.2000000000000455,32.69378481231715,-2,-2,-1,0.04991452991452988,-0.0011965811965811701,3.9481837606837615,-0.3275213675213675,0.12975957585633813,-2.8,-14.084166666666645,-0.830785912237004,-20212883,0.0,-2,25925703.6,-15167361.9455382,26298639,0.40000000000000013,1,30,0
12664,0,595.0,170.2,1.0,0.053999999999999826,0.020382123769981775,2.8,0.06199999999999997,-9.200000000000045,-91.82887893685304,1,0,1,-0.010000000000000009,0.06000000000000005,-2.360000000000001,-0.5600000000000005,-0.025524609613505334,9.599999999999998,31.619999999999983,0.0,-104507996,0.0,-2,-53731348.400000006,17076987.658263687,-79055703,2.1999999999999997,0,-29,1
11048,0,721.2,53.400000000000006,-7.0,0.028000000000000025,-0.029788257482998515,-8.0,-0.052000000000000046,-16.0,111.99615880571602,-2,1,1,-0.035,-0.06000000000000005,0.7199999999999989,-0.2925000000000004,0.03714548236085968,-0.8000000000000007,-70.13730769230774,-0.6151460402696306,76961490,0.005770102766117113,3,-19065085.0,11693416.178936668,-39148870,-1.2000000000000002,1,-44,0
8623,1,-88.0,-1.1999999999999993,10.600000000000001,0.038999999999999924,-0.013645825874628745,7.8,-0.0020000000000000573,10.200000000000045,51.7323519725979,-1,-1,0,0.020000000000000004,0.07999999999999996,0.9199999999999999,0.5999999999999996,0.1954343723277584,-5.800000000000001,56.96499999999998,2.217735396381115,-4678164,0.0,1,38936321.599999994,20368349.639411435,16327353,-0.19999999999999996,0,-11,1
10316,0,468.79999999999995,-4.0,-11.800000000000004,0.006000000000000005,-0.036227741541970976,-14.0,-0.07199999999999997,163.20000000000027,234.4166336507899,2,0,1,-0.11999999999999997,0.27,2.2600000000000016,-0.08000000000000007,0.2157463481703894,2.200000000000001,44.42000000000003,-0.6588001816948355,-37185723,-0.04387811916092177,-4,-30253274.5,21757135.62559484,-41671051,1.0,1,-7,0
4025,0,-1281.0,-322.40000000000003,-5.799999999999997,0.008000000000000007,-0.01179914604666521,-4.8,-0.06999999999999998,-65.0,-109.18844047809768,0,0,0,-0.010000000000000009,-0.14,2.2499999999999982,-0.29000000000000004,0.08048978616742053,-7.0,-0.31555555555555515,0.3567439882068857,62445060,0.020549612235995496,0,-61403696.5,28436120.5,-89839817,-1.4000000000000001,-4,-39,1
7850,0,-2101.2,4.200000000000003,18.0,0.16399999999999992,0.010506368363505434,20.0,0.14999999999999994,371.39999999999964,-211.5493768444414,-1,0,0,0.01947368421052631,0.04631578947368431,-1.8131578947368414,-0.6510526315789473,0.1085008479113112,2.4000000000000004,-14.33157894736842,11.997820870776172,-460516,-0.023099585797111466,1,-3549901.3333333284,38420078.07668917,-57881218,-0.6000000000000001,0,-12,1
8760,0,-366.2,-66.79999999999998,-5.600000000000001,0.016000000000000014,0.0004103134262506136,-8.8,-0.012000000000000054,-0.599999999999909,-52.42059200659344,1,0,0,-0.06,0.03999999999999998,-1.4800000000000004,0.48999999999999977,0.04849450117527554,-5.4,14.200526315789467,0.7893112245037781,616864075,0.0,0,22777818.800000004,56847.751084938645,-3402431,-0.20000000000000018,-3,14,0
1815,0,427.39999999999986,42.19999999999999,-1.6000000000000014,-0.03600000000000003,-0.01350836888332932,-0.7999999999999998,0.01800000000000003,-1.2000000000000455,142.4019183356367,0,-2,-1,0.01999999999999999,-0.020000000000000018,0.28999999999999915,-0.2799999999999998,0.044104417767828585,-8.0,13.739999999999963,0.0,7322230,0.0,-2,-29452152.25,-22143575.98005529,40433234,0.0,-2,14,0
10896,-1,46.60000000000002,11.200000000000003,10.799999999999997,0.050000000000000044,0.02856686970881972,7.2,-0.051999999999999935,-62.200000000000045,83.73323394054322,0,0,0,0.03,-0.06999999999999995,-0.5999999999999996,1.48,-0.14618196642140047,1.1999999999999993,-23.793157894736872,-9.85986528926448,24765986,0.04277658114079916,0,37951430.0,15074210.982317321,12342046,-0.4,0,-24,0
