,_id,winner,match_mean_elo,5v5_free_queue,5v5_premium_queue,dif_mean_elo,dif_stddev_elo,dif_num_paid_memberships,dif_num_solo_players,dif_num_parties,dif_mean_matches,dif_mean_winrate,dif_mean_kd,dif_mean_multikills_score,dif_mean_rating,dif_mean_matches_on_map,dif_mean_winrate_on_map,dif_mean_kd_on_map,dif_mean_multikills_score_on_map,dif_mean_rating_on_map,dif_mean_matches_map_preference,dif_mean_winrate_map_preference,dif_mean_kd_map_preference,dif_mean_multikills_score_map_preference,dif_mean_rating_map_preference,dif_mean_created_at_faceit,dif_stddev_created_at_faceit,dif_min_created_at_faceit,dif_mean_matches_on_map_prev,dif_mean_winrate_prev,dif_mean_kd_prev,dif_mean_weighted_kd_by_elo_prev,dif_multikills_score_prev,dif_mean_rating_prev,dif_mean_interval_time_prev,dif_mean_interval_time_oldest_prev,dif_mean_interval_time_most_recent_prev,dif_max_interval_time_most_recent_prev,dif_mean_delta_elo_prev,dif_mean_dif_rounds_prev,dif_mean_dif_elo_prev,dif_mean_matches_afk,dif_num_played_togthr_prev,dif_winrate_togthr_prev,dif_mean_first_matches_on_day,dif_mean_matches_on_day,dif_mean_played_map_on_day,entity_dummies_hub,entity_dummies_matchmaking
0,1-0002441e-bec7-4746-9c01-81560aeb145f,0,1977.4,0,1,-8.799999999999955,-71.7622559342436,0,2,1,570.8,-0.01977617611160498,-0.044244127959344626,-0.05488324135734324,-0.037069968814419596,153.2,0.03792020586282657,0.09173318013004905,0.07744960977426618,0.10194258155790004,0.07806866060351711,0.11286438989701375,0.1331531052088868,0.24245227863855812,0.13359442293942414,52211137.400000006,-43792963.04989277,121668778,1.0,-0.08000000000000007,0.07886263092011148,139.3200044738146,0.0507737614472642,0.10389313025983116,28301.29999999999,109450.60000000003,-9790.0,-35278,-36.53999999999999,-0.18000000000000016,83.01200000000003,0.0,-0.16000000000000003,-0.42857142857142855,0,0.6000000000000001,0.6,0,1
1,1-00044d9e-77bd-4a14-bc36-ea864858ac9a,0,1796.1,1,0,129.39999999999986,454.52388884898016,-2,1,1,-306.5999999999999,0.022957675997456017,0.10728043709083324,0.06884055970356068,0.092169054478492,-28.399999999999977,0.05851152156892997,0.14354024888752626,0.10355304843839747,0.11172544272287599,-0.04610672557573803,0.06983098448069835,0.039416378742236025,0.06913084088488386,0.25086742942619544,-43592474.0,-27497402.821083263,14320549,-0.4,0.09999999999999998,0.1584608486795458,475.23432637568453,0.0951149210831369,0.09935575040202682,1992.3800000000047,-21955.0,-27917.999999999985,-162401,-4.46,0.5599999999999999,417.19200000000006,0.0,-0.16000000000000003,0.7619047619047619,0,0.19999999999999996,0.0,0,1
2,1-00052bb7-c844-4004-b17d-868b6ed7a645,0,1920.0,1,0,-1.599999999999909,1.3778555049933523,0,0,0,-44.799999999999955,0.019848201352251293,0.10466150079455017,0.04592011917750971,0.0650578770849004,-12.399999999999977,0.0204167597628353,0.10436984245285363,0.041545377086493196,0.05836888527502748,0.009746256806392184,-0.00033992153490691734,-0.005629981918988447,-0.007956461787057778,-0.006899701849746531,-6059792.200000003,35571941.79155293,-84190130,-1.2000000000000002,0.08000000000000007,0.18905044233843826,358.63589684717317,0.061087364603684524,0.1255576986824124,-114791.5,-16177.599999999977,-34967.799999999996,-274748,44.5,0.64,-69.724,0.0,0.0,0.0,1,0.19999999999999996,0.2,0,1
3,1-00055c82-b90a-4395-b7c6-f032eb106230,0,1551.1,1,0,63.0,-21.022971202185346,0,-1,-1,-831.8,0.015650336182050917,0.05866730524747288,-0.020717146956389265,0.005562288265736237,-231.40000000000003,0.03713795618615001,0.0762684118534045,-0.003546104750734691,0.025759742311723066,0.0020772712379031333,0.042288362493791976,0.01841571774118711,0.036760495499985835,0.021723817874683915,-14056130.600000009,-27989.484602481127,7346532,-1.2000000000000002,1.1102230246251565e-16,0.12172736048145927,240.6432851728564,0.19723030097373984,0.15313389962507218,148554.6,206018.40000000002,219.5999999999999,189,15.2,2.3200000000000003,-176.23999999999998,0.0,-0.08000000000000002,0.4685714285714285,0,-3.3999999999999995,-2.0,0,1
4,1-00061954-f2ac-44c0-a7a8-ace5c2139e65,0,2639.5,0,1,72.60000000000036,16.935455045227087,0,2,1,-314.8000000000002,0.022287094454426448,-0.019952893907035696,0.029067221819361055,0.0029511096779257784,-70.60000000000002,0.03435975748940445,-0.03341603765286916,0.02094058685421485,-0.010110477911596139,0.023365036077515722,0.02345267253319583,-0.012363658776081032,-0.013806491991710801,-0.012151908564782321,54778248.19999999,18047998.127024874,31177599,-0.19999999999999996,0.17999999999999983,0.053718689762839666,244.49745848160546,-0.0009611147456901614,0.02071945407015785,45014.26000000004,41569.79999999999,37914.399999999994,149041,33.84,-0.8600000000000001,-45.583999999999975,0.0,-0.28,0.42857142857142855,1,-1.4,0.0,0,1
5,1-000653df-afa1-4b72-a6e5-fba67d81139e,0,2725.5,1,0,103.80000000000018,-50.74854315673588,-2,0,0,1092.6,-0.014745214996890965,-0.10250967082915641,-0.13853378633949243,-0.113614056840875,285.2,0.09829150522301189,0.003001189526873116,-0.04567360995284886,-0.006721446120582009,0.10052566371972245,0.20892005271281167,0.0901620852477234,0.14556770337210756,0.09165736677404757,-8442816.199999988,-19191990.126223475,27225628,1.6,-0.06000000000000005,0.024862865398934675,211.1905480807436,0.0005068314216409298,-0.006199414595503661,172146.52000000002,418432.39999999997,-2904.0,-2904,-76.19999999999999,1.12,162.88400000000007,0.0,-0.43999999999999995,0.028846153846153855,0,-1.0,0.0,0,1
6,1-00070d43-4d4d-4bef-8fd0-ac8308388007,0,1928.8,0,1,20.40000000000009,-41.04156994476571,0,3,2,-74.20000000000005,0.003631585465602827,0.0030086403559714814,0.012664300764729908,-0.0006945570061247519,32.19999999999999,0.041677266387858125,0.0271892875990154,0.03697404147899941,0.03351086686492555,0.05308797563879153,0.07165425519006008,0.023551766047183564,0.05080307902099257,0.03241952168257378,-44118766.0,3115692.6917015165,-17190683,0.19999999999999973,-0.07999999999999985,0.1380325260937707,285.42168971877163,0.011215575265232314,0.058628186231244994,-47012.81999999998,-48946.0,1304.2000000000044,82099,-2.200000000000001,1.5,41.664,0.0,-0.31999999999999995,0.0,-1,2.2,0.7999999999999999,0,1
7,1-00078665-1f84-4265-9caa-fb556bc75479,0,1654.5,1,0,61.40000000000009,100.02764313317758,3,0,-1,-803.8,0.02280103388573329,0.05631854134265091,0.04889947690646934,0.07127986686731269,-112.6,0.02831779518644162,0.04280737170995719,0.04444500646224814,0.06516555720761796,0.03234398968848501,0.008919004274309916,-0.014245721943039413,-0.025127376040592675,-0.00888325487095154,7589420.400000006,5622693.494528964,-9063706,0.2,0.05999999999999994,0.10209439630612727,245.0563582638008,0.10051730091598116,0.10598465853930505,117159.85999999999,255359.8,-25854.0,22396,-18.9,1.5,96.26799999999996,0.0,-0.34,-0.3892773892773893,-2,2.0,0.0,0,1
8,1-00099661-73fc-4af8-a037-1383eb17a67c,1,2342.0,1,0,-297.60000000000036,-285.5919469544716,-1,0,0,-2275.8,-0.07635776581794462,-0.03727718984585726,0.01755559085802405,-0.008900927687086835,-470.6,-0.08149122309956702,-0.044688183723444075,-0.0030420957056620512,-0.03377254559638998,0.01855896045084937,0.007543417160764898,-0.005704743306744753,-0.04073831584517995,-0.022746754100266164,-60658209.2,-18182873.436620656,-31720735,0.40000000000000036,-0.14,-0.035106183698046634,-530.8131586203026,-0.08114617300677374,-0.07395102741766424,-58581.52000000002,-61979.0,66166.4,109244,17.78,1.98,58.87199999999999,0.0,0.34,-0.7791666666666667,4,-1.4000000000000001,-0.2,0,1
9,1-0009bdbc-d344-425a-9059-5f93c673e674,0,1594.6,1,0,73.20000000000005,526.5224634263062,2,-3,-2,-286.99999999999994,0.010200274617160332,0.10782314889088096,0.1037898627921674,0.09109840874678121,24.200000000000003,0.10535419767671494,0.20445750906214089,0.21034704250864378,0.2020971725478078,0.08980491869530047,0.17785066387155346,0.09058400891149643,0.17030851833040972,0.10059536270237768,29331369.4,20304387.94717259,2151773,0.9999999999999999,-0.07999999999999996,0.07225174245808841,233.34395541009962,0.17822739417944766,0.056900724837385175,-136777.06,-7077.200000000012,9717.0,39409,-23.740000000000002,-0.22000000000000003,79.10000000000001,0.0,0.38,-0.15789473684210525,1,-0.5999999999999996,0.4,0,1
